Time_s	Pulse	Resp
2.414	2594.000	604.790
2.418	2564.000	604.426
2.422	2533.000	604.126
2.426	2504.000	603.890
2.430	2476.000	603.714
2.434	2449.000	603.592
2.438	2423.000	603.518
2.442	2396.000	603.486
2.446	2370.000	603.488
2.450	2344.000	603.519
2.454	2319.000	603.571
2.458	2294.000	603.639
2.462	2271.000	603.717
2.466	2248.000	603.797
2.470	2228.000	603.873
2.474	2208.000	603.940
2.478	2189.000	603.990
2.482	2169.000	604.017
2.486	2150.000	604.014
2.490	2130.000	603.976
2.494	2114.000	603.899
2.498	2098.000	603.782
2.502	2081.000	603.624
2.506	2068.000	603.425
2.510	2055.000	603.185
2.514	2044.000	602.903
2.518	2031.000	602.577
2.522	2018.000	602.208
2.526	2005.000	601.796
2.530	1991.000	601.338
2.534	1978.000	600.836
2.538	1965.000	600.288
2.542	1951.000	599.693
2.546	1939.000	599.052
2.550	1924.000	598.363
2.554	1910.000	597.626
2.558	1894.000	596.844
2.562	1878.000	596.025
2.566	1861.000	595.176
2.570	1844.000	594.304
2.574	1825.000	593.416
2.578	1809.000	592.521
2.582	1791.000	591.624
2.586	1774.000	590.734
2.590	1756.000	589.858
2.594	1739.000	589.002
2.598	1723.000	588.175
2.602	1706.000	587.384
2.606	1689.000	586.635
2.610	1671.000	585.937
2.614	1655.000	585.296
2.618	1639.000	584.721
2.622	1624.000	584.213
2.626	1608.000	583.776
2.630	1593.000	583.408
2.634	1578.000	583.111
2.638	1564.000	582.886
2.642	1550.000	582.733
2.646	1539.000	582.653
2.650	1525.000	582.646
2.654	1513.000	582.713
2.658	1501.000	582.855
2.662	1489.000	583.072
2.666	1476.000	583.365
2.670	1465.000	583.735
2.674	1454.000	584.183
2.678	1444.000	584.708
2.682	1433.000	585.312
2.686	1424.000	585.989
2.690	1414.000	586.731
2.694	1406.000	587.526
2.698	1399.000	588.366
2.702	1394.000	589.241
2.706	1389.000	590.140
2.710	1384.000	591.053
2.714	1380.000	591.971
2.718	1376.000	592.883
2.722	1374.000	593.781
2.726	1373.000	594.653
2.730	1371.000	595.490
2.734	1369.000	596.282
2.738	1366.000	597.019
2.742	1364.000	597.691
2.746	1360.000	598.289
2.750	1358.000	598.813
2.754	1356.000	599.271
2.758	1356.000	599.674
2.762	1356.000	600.031
2.766	1356.000	600.353
2.770	1356.000	600.648
2.774	1356.000	600.926
2.778	1358.000	601.198
2.782	1359.000	601.473
2.786	1360.000	601.760
2.790	1363.000	602.070
2.794	1364.000	602.411
2.798	1366.000	602.795
2.802	1368.000	603.230
2.806	1369.000	603.726
2.810	1369.000	604.293
2.814	1369.000	604.930
2.818	1369.000	605.628
2.822	1369.000	606.377
2.826	1369.000	607.167
2.830	1369.000	607.988
2.834	1370.000	608.831
2.838	1373.000	609.685
2.842	1374.000	610.540
2.846	1373.000	611.387
2.850	1373.000	612.216
2.854	1374.000	613.016
2.858	1374.000	613.778
2.862	1375.000	614.491
2.866	1378.000	615.147
2.870	1381.000	615.735
2.874	1388.000	616.245
2.878	1394.000	616.674
2.882	1401.000	617.026
2.886	1413.000	617.304
2.890	1426.000	617.511
2.894	1445.000	617.652
2.898	1468.000	617.729
2.902	1495.000	617.747
2.906	1526.000	617.709
2.910	1565.000	617.619
2.914	1608.000	617.479
2.918	1655.000	617.295
2.922	1710.000	617.069
2.926	1769.000	616.804
2.930	1831.000	616.505
2.934	1899.000	616.175
2.938	1970.000	615.818
2.942	2044.000	615.438
2.946	2119.000	615.038
2.950	2195.000	614.624
2.954	2270.000	614.199
2.958	2344.000	613.769
2.962	2418.000	613.337
2.966	2488.000	612.909
2.970	2558.000	612.487
2.974	2623.000	612.077
2.978	2684.000	611.683
2.982	2740.000	611.310
2.986	2791.000	610.961
2.990	2838.000	610.642
2.994	2879.000	610.356
2.998	2918.000	610.108
3.002	2951.000	609.903
3.006	2984.000	609.740
3.010	3011.000	609.616
3.014	3036.000	609.528
3.018	3058.000	609.472
3.022	3075.000	609.445
3.026	3091.000	609.442
3.030	3106.000	609.462
3.034	3118.000	609.499
3.038	3126.000	609.551
3.042	3133.000	609.614
3.046	3139.000	609.685
3.050	3141.000	609.759
3.054	3141.000	609.834
3.058	3140.000	609.906
3.062	3135.000	609.971
3.066	3129.000	610.026
3.070	3120.000	610.070
3.074	3110.000	610.103
3.078	3100.000	610.126
3.082	3088.000	610.141
3.086	3078.000	610.148
3.090	3063.000	610.149
3.094	3048.000	610.144
3.098	3030.000	610.133
3.102	3009.000	610.120
3.106	2989.000	610.103
3.110	2966.000	610.084
3.114	2941.000	610.064
3.118	2916.000	610.044
3.122	2888.000	610.025
3.126	2858.000	610.008
3.130	2826.000	609.993
3.134	2794.000	609.982
3.138	2761.000	609.973
3.142	2728.000	609.967
3.146	2694.000	609.964
3.150	2661.000	609.962
3.154	2629.000	609.962
3.158	2598.000	609.964
3.162	2564.000	609.967
3.166	2534.000	609.970
3.170	2503.000	609.975
3.174	2473.000	609.980
3.178	2444.000	609.985
3.182	2418.000	609.990
3.186	2394.000	609.995
3.190	2371.000	609.998
3.194	2351.000	610.001
3.198	2333.000	610.003
3.202	2313.000	610.004
3.206	2294.000	610.005
3.210	2274.000	610.004
3.214	2255.000	610.004
3.218	2238.000	610.003
3.222	2219.000	610.001
3.226	2199.000	610.000
3.230	2179.000	609.999
3.234	2160.000	609.997
3.238	2139.000	609.997
3.242	2118.000	609.996
3.246	2098.000	609.996
3.250	2078.000	609.997
3.254	2059.000	609.999
3.258	2041.000	610.001
3.262	2024.000	610.005
3.266	2008.000	610.009
3.270	1993.000	610.014
3.274	1979.000	610.018
3.278	1966.000	610.023
3.282	1953.000	610.027
3.286	1938.000	610.031
3.290	1926.000	610.034
3.294	1914.000	610.035
3.298	1901.000	610.035
3.302	1890.000	610.034
3.306	1879.000	610.031
3.310	1864.000	610.025
3.314	1849.000	610.017
3.318	1834.000	610.006
3.322	1818.000	609.993
3.326	1801.000	609.977
3.330	1786.000	609.959
3.334	1770.000	609.940
3.338	1754.000	609.922
3.342	1739.000	609.904
3.346	1724.000	609.888
3.350	1709.000	609.875
3.354	1694.000	609.866
3.358	1680.000	609.861
3.362	1665.000	609.861
3.366	1650.000	609.868
3.370	1636.000	609.882
3.374	1623.000	609.904
3.378	1610.000	609.935
3.382	1598.000	609.976
3.386	1585.000	610.027
3.390	1575.000	610.088
3.394	1565.000	610.155
3.398	1555.000	610.225
3.402	1545.000	610.295
3.406	1536.000	610.361
3.410	1528.000	610.420
3.414	1516.000	610.469
3.418	1508.000	610.504
3.422	1498.000	610.522
3.426	1488.000	610.520
3.430	1479.000	610.495
3.434	1470.000	610.443
3.438	1461.000	610.360
3.442	1455.000	610.244
3.446	1449.000	610.091
3.450	1446.000	609.899
3.454	1443.000	609.666
3.458	1440.000	609.397
3.462	1438.000	609.095
3.466	1434.000	608.764
3.470	1431.000	608.407
3.474	1430.000	608.028
3.478	1426.000	607.631
3.482	1424.000	607.218
3.486	1421.000	606.794
3.490	1420.000	606.361
3.494	1416.000	605.925
3.498	1413.000	605.487
3.502	1410.000	605.052
3.506	1405.000	604.624
3.510	1400.000	604.205
3.514	1394.000	603.799
3.518	1390.000	603.407
3.522	1389.000	603.027
3.526	1385.000	602.657
3.530	1385.000	602.295
3.534	1386.000	601.938
3.538	1388.000	601.585
3.542	1389.000	601.233
3.546	1394.000	600.881
3.550	1399.000	600.525
3.554	1405.000	600.165
3.558	1413.000	599.798
3.562	1418.000	599.421
3.566	1424.000	599.033
3.570	1429.000	598.632
3.574	1433.000	598.215
3.578	1435.000	597.781
3.582	1435.000	597.329
3.586	1436.000	596.865
3.590	1436.000	596.390
3.594	1438.000	595.908
3.598	1439.000	595.423
3.602	1441.000	594.939
3.606	1445.000	594.458
3.610	1453.000	593.984
3.614	1464.000	593.520
3.618	1480.000	593.071
3.622	1503.000	592.638
3.626	1529.000	592.227
3.630	1564.000	591.840
3.634	1603.000	591.480
3.638	1648.000	591.152
3.642	1696.000	590.857
3.646	1753.000	590.600
3.650	1811.000	590.378
3.654	1875.000	590.193
3.658	1939.000	590.044
3.662	2005.000	589.933
3.666	2073.000	589.858
3.670	2139.000	589.819
3.674	2206.000	589.818
3.678	2271.000	589.854
3.682	2335.000	589.928
3.686	2398.000	590.038
3.690	2456.000	590.186
3.694	2515.000	590.371
3.698	2570.000	590.595
3.702	2624.000	590.855
3.706	2675.000	591.154
3.710	2724.000	591.488
3.714	2768.000	591.855
3.718	2809.000	592.250
3.722	2845.000	592.669
3.726	2879.000	593.109
3.730	2910.000	593.566
3.734	2940.000	594.035
3.738	2968.000	594.514
3.742	2994.000	594.997
3.746	3018.000	595.482
3.750	3036.000	595.964
3.754	3054.000	596.440
3.758	3069.000	596.906
3.762	3079.000	597.358
3.766	3088.000	597.791
3.770	3095.000	598.203
3.774	3100.000	598.593
3.778	3104.000	598.965
3.782	3106.000	599.322
3.786	3106.000	599.668
3.790	3105.000	600.006
3.794	3103.000	600.340
3.798	3099.000	600.674
3.802	3093.000	601.011
3.806	3085.000	601.355
3.810	3075.000	601.709
3.814	3064.000	602.077
3.818	3049.000	602.462
3.822	3031.000	602.868
3.826	3013.000	603.299
3.830	2991.000	603.759
3.834	2969.000	604.249
3.838	2944.000	604.769
3.842	2918.000	605.309
3.846	2889.000	605.860
3.850	2861.000	606.413
3.854	2833.000	606.959
3.858	2803.000	607.488
3.862	2771.000	607.993
3.866	2740.000	608.464
3.870	2706.000	608.892
3.874	2674.000	609.268
3.878	2641.000	609.582
3.882	2609.000	609.827
3.886	2578.000	609.992
3.890	2548.000	610.069
3.894	2518.000	610.049
3.898	2488.000	609.924
3.902	2459.000	609.695
3.906	2428.000	609.378
3.910	2400.000	608.988
3.914	2371.000	608.539
3.918	2345.000	608.047
3.922	2320.000	607.526
3.926	2295.000	606.991
3.930	2273.000	606.458
3.934	2250.000	605.940
3.938	2230.000	605.454
3.942	2209.000	605.014
3.946	2190.000	604.634
3.950	2173.000	604.330
3.954	2159.000	604.117
3.958	2144.000	604.010
3.962	2133.000	604.022
3.966	2121.000	604.154
3.970	2109.000	604.391
3.974	2098.000	604.716
3.978	2084.000	605.116
